SN,Total Feedback Given,Total Configured,Questions,Weightage 1,Weightage 2,Weightage 3,Weightage 4,Weightage 5,Average/ Percentage,Course Name,Basic Course,Numeric_Rating,Feedback_Text,Sentiment_Score,Sentiment_Type
20,1,12,The overall quality of the teaching-learning process in your institute is very good.,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,"The college is okay with The overall quality of the teaching-learning process in your institute is very good., but needs improvement.",0.47,Positive
1,1,144,How much of the syllabus was covered in the class?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,Excellent work on How much of the syllabus was covered in the class?. Very satisfied.,0.6166666666666667,Positive
2,1,144,How well did the teachers prepare for the classes?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,Excellent work on How well did the teachers prepare for the classes?. Very satisfied.,0.825,Positive
3,1,144,How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,Excellent work on How well were the teachers able to communicate?. Very satisfied.,0.7166666666666667,Positive
4,1,144,The teachers approach to teaching can best be described as,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,Excellent work on The teachers approach to teaching can best be described as. Very satisfied.,0.8833333333333333,Positive
5,1,144,Fairness of the internal evaluation process by the teachers.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,1,144,Was your performance in assignments discussed with you?,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0,Excellent work on Was your performance in assignments discussed with you?. Very satisfied.,0.825,Positive
7,1,144,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,3.00 / 60.00,FYBA,BACHELOR OF ARTS,3.0,"The college is okay with The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students., but needs improvement.",0.18333333333333335,Positive
8,1,144,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,"Excellent work on The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.. Very satisfied.",0.4208333333333334,Positive
9,1,144,The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0,Excellent work on The institution provides multiple opportunities to learn and grow.. Very satisfied.,0.5499999999999999,Positive
10,1,144,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,"Excellent work on Teachers inform you about your expected competencies, course outcomes and program
outcomes.. Very satisfied.",0.5166666666666667,Positive
11,1,144,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,Excellent work on Your mentor does a necessary follow-up with an assigned task to you.. Very satisfied.,0.5499999999999999,Positive
12,1,144,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,1,144,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,Excellent work on The teachers identify your strengths and encourage you to provide the proper level of challenges.. Very satisfied.,0.5499999999999999,Positive
14,1,144,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,Excellent work on Teachers are able to identify your weaknesses and help you to overcome them.. Very satisfied.,0.7166666666666667,Positive
15,1,144,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0,"Excellent work on The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.. Very satisfied.",0.825,Positive
16,1,144,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0,"Excellent work on The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.. Very satisfied.",0.5499999999999999,Positive
17,1,144,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0,Excellent work on Teachers encourage you to participate in extracurricular activities.. Very satisfied.,0.825,Positive
18,1,144,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0,"Excellent work on Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.. Very satisfied.",0.48750000000000004,Positive
19,1,144,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0,"Excellent work on What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?. Very satisfied.",0.5499999999999999,Positive
20,1,144,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0,Excellent work on The overall quality of the teaching-learning process in your institute is very good.. Very satisfied.,0.64,Positive
1,74,119,How much of the syllabus was covered in the class?,1,2,13,27,31,4.15 / 82.97,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.15,Excellent work on How much of the syllabus was covered in the class?. Very satisfied.,0.6166666666666667,Positive
2,74,119,How well did the teachers prepare for the classes?,1,1,14,52,6,3.82 / 76.49,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.82,"The college is okay with How well did the teachers prepare for the classes?, but needs improvement.",0.5,Positive
3,74,119,How well were the teachers able to communicate?,2,1,7,28,36,4.28 / 85.68,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.28,Excellent work on How well were the teachers able to communicate?. Very satisfied.,0.7166666666666667,Positive
4,74,119,The teachers approach to teaching can best be described as,0,5,17,35,17,3.86 / 77.30,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.86,"The college is okay with The teachers approach to teaching can best be described as, but needs improvement.",0.75,Positive
5,74,119,Fairness of the internal evaluation process by the teachers.,3,3,9,21,38,4.19 / 83.78,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.19,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,74,119,Was your performance in assignments discussed with you?,1,3,8,27,35,4.24 / 84.86,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.24,Excellent work on Was your performance in assignments discussed with you?. Very satisfied.,0.825,Positive
7,74,119,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",2,6,22,10,34,3.92 / 78.38,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.92,"The college is okay with The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students., but needs improvement.",0.18333333333333335,Positive
8,74,119,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,4,12,40,17,3.92 / 78.38,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.92,"The college is okay with The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth., but needs improvement.",0.17777777777777778,Positive
9,74,119,The institution provides multiple opportunities to learn and grow.,1,3,8,43,19,4.03 / 80.54,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.03,Excellent work on The institution provides multiple opportunities to learn and grow.. Very satisfied.,0.5499999999999999,Positive
10,74,119,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,9,32,30,4.20 / 84.05,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.2,"Excellent work on Teachers inform you about your expected competencies, course outcomes and program
outcomes.. Very satisfied.",0.5166666666666667,Positive
11,74,119,Your mentor does a necessary follow-up with an assigned task to you.,2,4,11,30,27,4.03 / 80.54,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.03,Excellent work on Your mentor does a necessary follow-up with an assigned task to you.. Very satisfied.,0.5499999999999999,Positive
12,74,119,The teachers illustrate the concepts through examples and applications.,1,4,7,27,35,4.23 / 84.59,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.23,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,74,119,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,6,32,33,4.27 / 85.41,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.27,Excellent work on The teachers identify your strengths and encourage you to provide the proper level of challenges.. Very satisfied.,0.5499999999999999,Positive
14,74,119,Teachers are able to identify your weaknesses and help you to overcome them.,1,3,12,34,24,4.04 / 80.81,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.04,Excellent work on Teachers are able to identify your weaknesses and help you to overcome them.. Very satisfied.,0.7166666666666667,Positive
15,74,119,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,4,9,46,15,3.97 / 79.46,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.97,"The college is okay with The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process., but needs improvement.",0.5,Positive
16,74,119,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,5,5,44,19,4.01 / 80.27,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.01,"Excellent work on The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.. Very satisfied.",0.5499999999999999,Positive
17,74,119,Teachers encourage you to participate in extracurricular activities.,1,2,5,34,32,4.27 / 85.41,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.27,Excellent work on Teachers encourage you to participate in extracurricular activities.. Very satisfied.,0.825,Positive
18,74,119,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",1,5,10,35,23,4.00 / 80.00,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.0,"Excellent work on Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.. Very satisfied.",0.48750000000000004,Positive
19,74,119,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",19,5,26,18,6,2.82 / 56.49,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),2.82,"Unsatisfied with What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?. Action needed immediately.",0.05,Neutral
20,74,119,The overall quality of the teaching-learning process in your institute is very good.,0,3,10,36,25,4.12 / 82.43,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.12,Excellent work on The overall quality of the teaching-learning process in your institute is very good.. Very satisfied.,0.64,Positive
1,20,33,How much of the syllabus was covered in the class?,0,0,1,4,15,4.70 / 94.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.7,Excellent work on How much of the syllabus was covered in the class?. Very satisfied.,0.6166666666666667,Positive
2,20,33,How well did the teachers prepare for the classes?,1,1,0,12,6,4.05 / 81.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.05,Excellent work on How well did the teachers prepare for the classes?. Very satisfied.,0.825,Positive
3,20,33,How well were the teachers able to communicate?,0,1,2,3,14,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.5,Excellent work on How well were the teachers able to communicate?. Very satisfied.,0.7166666666666667,Positive
4,20,33,The teachers approach to teaching can best be described as,0,1,1,8,10,4.35 / 87.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.35,Excellent work on The teachers approach to teaching can best be described as. Very satisfied.,0.8833333333333333,Positive
5,20,33,Fairness of the internal evaluation process by the teachers.,0,0,1,9,10,4.45 / 89.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.45,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,20,33,Was your performance in assignments discussed with you?,0,2,0,4,14,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.5,Excellent work on Was your performance in assignments discussed with you?. Very satisfied.,0.825,Positive
7,20,33,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,3,1,15,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.5,"Excellent work on The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.. Very satisfied.",0.5055555555555555,Positive
8,20,33,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,10,9,4.35 / 87.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.35,"Excellent work on The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.. Very satisfied.",0.4208333333333334,Positive
9,20,33,The institution provides multiple opportunities to learn and grow.,0,1,3,11,5,4.00 / 80.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.0,Excellent work on The institution provides multiple opportunities to learn and grow.. Very satisfied.,0.5499999999999999,Positive
10,20,33,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,2,2,15,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.5,"Excellent work on Teachers inform you about your expected competencies, course outcomes and program
outcomes.. Very satisfied.",0.5166666666666667,Positive
11,20,33,Your mentor does a necessary follow-up with an assigned task to you.,2,2,0,4,12,4.10 / 82.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.1,Excellent work on Your mentor does a necessary follow-up with an assigned task to you.. Very satisfied.,0.5499999999999999,Positive
12,20,33,The teachers illustrate the concepts through examples and applications.,2,2,1,2,13,4.10 / 82.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.1,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,20,33,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,0,1,6,12,4.40 / 88.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.4,Excellent work on The teachers identify your strengths and encourage you to provide the proper level of challenges.. Very satisfied.,0.5499999999999999,Positive
14,20,33,Teachers are able to identify your weaknesses and help you to overcome them.,1,1,0,6,12,4.35 / 87.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.35,Excellent work on Teachers are able to identify your weaknesses and help you to overcome them.. Very satisfied.,0.7166666666666667,Positive
15,20,33,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,0,2,6,11,4.30 / 86.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.3,"Excellent work on The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.. Very satisfied.",0.825,Positive
16,20,33,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,1,2,3,13,4.30 / 86.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.3,"Excellent work on The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.. Very satisfied.",0.5499999999999999,Positive
17,20,33,Teachers encourage you to participate in extracurricular activities.,1,0,1,8,10,4.30 / 86.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.3,Excellent work on Teachers encourage you to participate in extracurricular activities.. Very satisfied.,0.825,Positive
18,20,33,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",1,1,1,4,13,4.35 / 87.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.35,"Excellent work on Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.. Very satisfied.",0.48750000000000004,Positive
19,20,33,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,2,8,10,4.40 / 88.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.4,"Excellent work on What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?. Very satisfied.",0.5499999999999999,Positive
20,20,33,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,10,10,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.5,Excellent work on The overall quality of the teaching-learning process in your institute is very good.. Very satisfied.,0.64,Positive
1,26,122,How much of the syllabus was covered in the class?,1,1,8,6,10,3.88 / 77.69,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,3.88,"The college is okay with How much of the syllabus was covered in the class?, but needs improvement.",0.35,Positive
2,26,122,How well did the teachers prepare for the classes?,1,0,6,13,6,3.88 / 77.69,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,3.88,"The college is okay with How well did the teachers prepare for the classes?, but needs improvement.",0.5,Positive
3,26,122,How well were the teachers able to communicate?,0,3,3,8,12,4.12 / 82.31,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.12,Excellent work on How well were the teachers able to communicate?. Very satisfied.,0.7166666666666667,Positive
4,26,122,The teachers approach to teaching can best be described as,1,2,3,10,10,4.00 / 80.00,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.0,Excellent work on The teachers approach to teaching can best be described as. Very satisfied.,0.8833333333333333,Positive
5,26,122,Fairness of the internal evaluation process by the teachers.,1,2,3,8,12,4.08 / 81.54,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.08,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,26,122,Was your performance in assignments discussed with you?,2,1,6,7,10,3.85 / 76.92,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,3.85,"The college is okay with Was your performance in assignments discussed with you?, but needs improvement.",0.5,Positive
7,26,122,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",3,0,2,10,11,4.00 / 80.00,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.0,"Excellent work on The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.. Very satisfied.",0.5055555555555555,Positive
8,26,122,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,3,2,10,11,4.12 / 82.31,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.12,"Excellent work on The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.. Very satisfied.",0.4208333333333334,Positive
9,26,122,The institution provides multiple opportunities to learn and grow.,1,1,1,13,10,4.15 / 83.08,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.15,Excellent work on The institution provides multiple opportunities to learn and grow.. Very satisfied.,0.5499999999999999,Positive
10,26,122,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,2,9,12,4.15 / 83.08,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.15,"Excellent work on Teachers inform you about your expected competencies, course outcomes and program
outcomes.. Very satisfied.",0.5166666666666667,Positive
11,26,122,Your mentor does a necessary follow-up with an assigned task to you.,2,1,5,5,13,4.00 / 80.00,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.0,Excellent work on Your mentor does a necessary follow-up with an assigned task to you.. Very satisfied.,0.5499999999999999,Positive
12,26,122,The teachers illustrate the concepts through examples and applications.,2,1,3,7,13,4.08 / 81.54,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.08,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,26,122,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,2,4,4,16,4.31 / 86.15,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.31,Excellent work on The teachers identify your strengths and encourage you to provide the proper level of challenges.. Very satisfied.,0.5499999999999999,Positive
14,26,122,Teachers are able to identify your weaknesses and help you to overcome them.,0,2,3,6,15,4.31 / 86.15,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.31,Excellent work on Teachers are able to identify your weaknesses and help you to overcome them.. Very satisfied.,0.7166666666666667,Positive
